shopID,SDCategory
125531,麵食點心
40797,休閒零食
28880,麵食點心
123235,其它中式料理
33031,其他小吃
42367,其他小吃
35637,其他小吃
40317,西點烘焙
40317,麵包
43082,冰淇淋
1007950,其他小吃
657442,情境主題餐廳
81702,複合式
66537,景觀餐廳
956260,西點烘焙
956260,麵包
30982,剉冰
30982,豆花
72528,海鮮餐廳
1017400,西點烘焙
1017400,麵包
86266,日式麵食專賣
40934,飲料專賣店
147,海鮮餐廳
106307,懷舊主題
43825,剉冰
43825,豆花
43598,綜合日式料理
960634,海鮮餐廳
44771,其他速食
54127,西點烘焙
54127,麵包
35898,山產野菜餐廳
93551,咖啡專賣
37661,台菜餐廳
88653,其他小吃
631702,複合式
31205,其他小吃
28928,剉冰
28928,豆花
37846,其他小吃
80497,咖啡專賣
118,咖啡專賣
44889,其他小吃
61009,飲料專賣店
27755,食補藥膳餐廳
27664,台菜餐廳
38366,麵食點心
618000,休閒零食
106246,海鮮餐廳
37965,其他小吃
56202,麵食點心
51821,西點烘焙
51821,麵包
1028564,台菜餐廳
149,台菜餐廳
